#⃣	Teclas: #|Teclas
*⃣	Teclas: *|Teclas
🙎	persona haciendo pucheros|decepción|disgusto|enfado|enojo|molestia|persona|persona haciendo puchero|pucheros
🙎‍♀	mujer haciendo pucheros|decepcionada|disgustada|enfadada|enojada|molesta|mujer|mujer haciendo puchero|pucheros
🙎‍♂	hombre haciendo pucheros|decepcionado|disgustado|enfadado|enojado|hombre|hombre haciendo puchero|molesto|pucheros
🙏	manos en oración|favor|gesto|gracias|mano|manos|oración|orar|por favor|rezar
🚀	cohete|espacio|luna|nasa|planeta|vehículo|viajar
🚁	helicóptero|aspas|rotores|transporte|vehículo|viajar|viaje|volar
🚂	locomotora de vapor|ferrocarril|locomotora|transporte|tren|tren a vapor|vapor|vehículo|viajar|viaje
🚃	tren eléctrico|eléctrico|ferrocaril|ferrocarril|transporte|tranvía|tren|vagón|vehículo|viaje
🚄	tren de alta velocidad|ferrocarril|rápido|transporte|tren|velocidad|viaje
🚅	tren bala|ave|bala|ferrocarril|rápido|shinkansen|transporte|tren|vehículo|velocidad|viajar|viaje
🚆	tren|chu chu|ferrocarril|transporte|viajar|viaje
🚇	metro|subte|subterráneo|suburbano|transporte
🚈	tren ligero|ferrocarril|monorriel|transporte|tren|viaje
🚉	estación de tren|estación|ferrocarril|transporte|tranvía|tren|viaje
🚊	tranvía|transporte|trolebús
🚋	vagón de tranvía|transporte|tranvía|vagón|vehículo
🚌	autobús|bus|colectivo|transporte
🚍	autobús se aproxima|autobús|bus|colectivo|llegada de autobús|micro|próximo|transporte|vehículo
🚎	trolebús|transporte|tranvía
🚏	parada de autobús|autobús|bus|colectivo|parada
🚐	minibús|autobús|combi|manjera|transporte|van|viaje
🚑	ambulancia|asistencia médica|emergencia|transporte|vehículo
🚒	camión de bomberos|bomberos|camión|carro|coche de bomberos|emergencia|fuego|transporte|vehículo
🚓	coche de policía|auto|auto de policía|carro|coche|patrulla|patrullero|policia|policía|transporte|vehículo
🚔	patrullero se aproxima|auto|carro|coche|coche de policía|coche de policía próximo|patrulla|patrullero|policía|transporte|vehículo
🚕	taxi|auto|carro|coche|transporte|vehículo
🚖	taxi se aproxima|amarillo|coche|taxi|taxi próximo|transporte|vehículo
🚗	auto|automóvil|carro|coche|transporte|vehículo
🚘	auto se aproxima|auto|automóvil|carro|coche|próximo|rojo|transporte|vehículo
🚙	vehículo deportivo utilitario|auto|automóvil|carro|furgoneta|manejar|SUV|transporte|vacaciones|vehículo|vehículo recreativo
🚚	camión de reparto|camión|mercancías|reparto|transporte|vehículo
🚛	camión articulado|acoplado|camión|tráiler|transporte|vehículo
🚜	tractor|agricultura|campo|vehículo
🚝	monorriel|ferrocarril|monocarril|monorraíl|transporte|tren
🚞	ferrocarril de montaña|ferrocarril|montaña|transporte|tren|vehículo|viajar|viaje
🚟	tren colgante|ferrocarril|ferrocarril de suspensión|suspensión|transporte|tren|vehículo
🚠	teleférico de montaña|cable|montaña|ski|telecabina de montaña|teleferico|teleférico|tren|vagón|vehículo
🚡	teleférico|aéreo|cabina|colgante|montaña|telecabina|teleferico|tranvía|tren|vehículo
🚢	barco|capitán|crucero|mar|marinero|vehículo
🚣	persona remando en un bote|bote|bote a remo|bote de remo|canoa|deporte|persona en un bote|persona remando|pescar|remando|remar
🚣‍♀	mujer remando en un bote|bote|bote a remo|bote de remo|canoa|deporte|mujer en un bote|mujer remando|pescar|remando|remar|remos
🚣‍♂	hombre remando en un bote|bote|bote a remo|bote de remo|canoa|deporte|hombre en un bote|hombre remando|pescar|remando|remar|remos
🚤	lancha|barco|bote|capitán|lancha motora|marinero|vehículo|yate
🚥	semáforo horizontal|luces|luz|semáforo|señales de tráfico|tráfico|tránsito
🚦	semáforo vertical|luces|luz|semáforo|señales de tráfico|tráfico|tránsito
🚧	señal de construcción|cartel|construcción|en construcción|peligro|señal|señal de obras
🚨	luz de patrullero|auto|coche de policía|emergencia|luces de policía|luz|patrullero|policía|sirena|transporte
🚩	bandera triangular|bandera|bandera de localización|bandera de localización triangular|bandera de ubicación|bandera informativa de localización|banderín|localización|triangular|ubicación
🚪	puerta|armario|closet|entrada
🚫	señal de prohibición|cancelar|entrar|fumar|no|pasar|prohibición|prohibido|señal|señal de no entrar
🚬	cigarrillo|cigarro|está permitido fumar|fumar|humo|permitido|señal|señal de fumar|tabaco
🚭	prohibido fumar|no fumar|señal|señal de no fumar
🚮	cartel cesto de basura|basura|papelera|señal|señal de basura|señal de usar papelera|tirar la basura en la papelera
🚯	prohibido tirar basura|basura|no tirar basura|prohibido|señal|señal de no tirar basura
🚰	agua potable|agua|grifo|potable|señal de agua potable
🚱	agua no potable|agua|no beber|no potable|seco
🚲	bicicleta|bici|ciclista|transporte|vehículo
🚳	no se permiten bicicletas|bicicleta|bicicletas|bicicletas no permitidas|prohibido|señal|vehículo
🚴	persona en bicicleta|andar|bicicleta|ciclista|deporte|deportes|en bicicleta|montar|pasear|persona
🚴‍♀	mujer en bicicleta|andar|bicicleta|ciclista|deporte|deportes|en bicicleta|montar|mujer|pasear
🚴‍♂	hombre en bicicleta|andar|bicicleta|ciclista|deporte|deportes|en bicicleta|hombre|montar|pasear
🚵	persona en bicicleta de montaña|bici|bicicleta|bicicleta de montaña|ciclismo de montaña|ciclista|ciclista de montaña|deporte|montando bicicleta|persona
🚵‍♀	mujer en bicicleta de montaña|bici|bicicleta|bicicleta de montaña|ciclismo de montaña|ciclista|ciclista de montaña|deporte|montando bicicleta|mujer
🚵‍♂	hombre en bicicleta de montaña|bici|bicicleta|bicicleta de montaña|ciclismo de montaña|ciclista|ciclista de montaña|deporte|hombre|montando bicicleta
🚶	persona caminando|andar|caminando|caminar|caminata|deambular|pasear|paseo|peatón|persona
🚶‍♀	mujer caminando|caminar|caminata|peaton
🚶‍♀‍➡	mujer caminando: hacia la derecha|caminar|caminata|derecha|hacia|la|mujer caminando|peaton
🚶‍♂	hombre caminando|andar|caminata|hombre|marcha
🚶‍♂‍➡	hombre caminando: hacia la derecha|andar|caminata|derecha|hacia|hombre|hombre caminando|la|marcha
🚶‍➡	persona caminando: hacia la derecha|andar|caminando|caminar|caminata|deambular|derecha|hacia|la|pasear|paseo|peatón|persona
🚷	prohibido el paso de peatones|peatón|peatones|prohibido|señal
🚸	cruce de niños|cruzando|cruzar|niños|señal
🚹	símbolo de hombre|aseo para hombres|aseos de caballeros|baño|chicos|señal|señal con un hombre|señal de hombre|servicio|wc
🚺	símbolo de mujer|aseos de señoras|baño|chicas|señal|señal con una mujer|señal de aseo para mujeres|señal de mujer|servicio|wc
🚻	señal de baño|aseos|bano|baño|público|señal|señal de aseos|servicios|wc
🚼	señal de bebé|bebé|bebé a bordo|bordo|cambiador|estación con cambiador de bebés|señal
🚽	inodoro|baño|poceta|váter|wc
🚾	servicios|aseos|baño|banos|señal|WC
🚿	ducha|agua|bañar|darse un baño|regadera
🛀	persona en la bañera|banarse|bañera|baño|persona|relax
🛁	bañera|banarse|baño|relax|tina
🛂	inspección de pasaportes|aduana|aeropuerto|control|control de pasaportes|pasaportes
🛃	aduana|aeropuerto|control de pasaporte|pasaporte
🛄	reclamo de equipaje|equipaje|maleta|recogida de equipajes
🛅	depósito de equipaje|consigna|depósito|equipaje|locker|señal|servicio de equipaje en depósito
🛋	sofá y lámpara|hotel|lámpara|sala de espera|sofá
🛌	persona durmiendo|a dormir|buenas noches|cama|cansancio|descansar|dormir|hotel|noche|persona|persona en la cama|siesta|zzz
🛍	bolsas de compras|bolsa|bolsas|compras|rebajas|regalo
🛎	campanilla de hotel|b&b|botones|campana|campanilla|hotel|motel|timbre|timbre de hotel
🛏	cama|dormir|hotel|litera
🛐	lugar de culto|culto|lugar|lugar de oración|oración|religión
🛑	señal de pare|alto|octágono|parada|pare|señal|señal de stop|stop
🛒	carrito de compras|abasto|carrito|carro|compra|compras|supermercado|tienda
🛕	templo hindú|hindú|hinduismo|templo
🛖	cabaña|casa|choza|hogar|refugio|yurta
🛗	ascensor|accesibilidad|elevador|montacargas
🛘	alud|alud de barro|avalancha|desastre|montaña|peligro|rocas|terremoto
🛜	wifi|computadora|conectividad|enrutador|inalámbrico|internet|red|teléfono inteligente|wlan
🛝	tobogán|deslizar|diversión|jugar|parque|plaza|resbaladilla|viajes y lugares
🛞	rueda|auto|carro|girar|llanta|neumático|rodar|vehículo|viajes y lugares
🛟	salvavidas|boya|flotador|inflable|nadar|rescate|salvar|seguridad|viajes y lugares
🛠	martillo y llave inglesa|herramienta|inglesa|llave|martillo
🛡	escudo|arma|protección
🛢	tambor de petróleo|barril|barril de petróleo|petróleo|tambor
🛣	autopista|autovía|carretera
🛤	vías|camino|ferrocarril|rieles|transporte|tren|vía|vía de tren
🛥	barco a motor|barco|bote|mar|marinero|motor|vehículo
🛩	avioneta|aire|avión|vehículo|viajar|viaje|volar
🛫	avión despegando|aeropuerto|avión|despegando|despegar|despegue|partida|salida|transporte|vacaciones|volar
🛬	avión aterrizando|aeropuerto|arribo|aterrizaje|aterrizar|avión|despegar|transporte
🛰	satélite|comunicación|espacio
🛳	barco de pasajeros|barco|capitán|mar|marinero|pasajeros|vehículo
🛴	monopatín|patín|patín del diablo|patinete|scooter
🛵	motoneta|escúter|moto|scooter|vespa
🛶	canoa|barca|barco|bote|piragua|remo
🛷	trineo|nieve
🛸	platillo volador|extraterrestre|objeto volador no identificado|ovni|platillo|platillo volante
🛹	skateboard|deporte|juego|monopatín|patinar|patineta|patinetero|skate|skater|tabla
🛺	mototaxi|bicitaxi|rickshaw|taxi|tuk tuk|vehículo
🛻	camioneta|auto|automóvil|carro|coche|medio de transporte|pickup|ranchera|transporte
🛼	patines|cordones|deporte|patín|patín de 4 ruedas|patín sobre ruedas|patinar|patines quad|rollers|skating
🟠	círculo naranja|anaranjado|círculo|naranja
🟡	círculo amarillo|amarillo|círculo
🟢	círculo verde|círculo|luz verde|verde
🟣	círculo morado|círculo|lila|morado|púrpura
🟤	círculo marrón|café|círculo|marrón
🟥	cuadrado rojo|cuadrado|cuadro|rojo
🟦	cuadrado azul|azul|cuadrado|cuadro
🟧	cuadrado naranja|anaranjado|cuadrado|cuadro|naranja
🟨	cuadrado amarillo|amarillo|cuadrado|cuadro
🟩	cuadrado verde|cuadrado|cuadro|verde
🟪	cuadrado morado|cuadrado|cuadro|lila|morado|púrpura
🟫	cuadrado marrón|cuadrado|cuadrado café|cuadro|marrón
🟰	signo igual grueso|igual|igualdad|iguales|matemáticas|respuesta|resultado|signo igual|símbolo
🤌	dedos juntos apuntando hacia arriba|cómo se te ocurre|dedos|dedos unidos|gesto|gesto italiano|sarcasmo
🤍	corazón blanco|blanco|corazón|emoción
🤎	corazón marrón|corazón|corazón café|emoción|marrón
🤏	mano pellizcando|chico|chiquito|dedos|pellizco|pequeño|pizca|poco|poquito
🤐	cara con la boca cerrada con cierre|boca|boca cerrada|callar|cara con cierre|cara con la boca cerrada|cierre|no digas nada|secreto|silencio
🤑	cara con lengua de dinero|billete|cara|cara con dinero|con dinero|dinero|lengua|millonario|pensando en dinero
🤒	cara con termómetro|calentura|cara|enfermedad|fiebre|termómetro
🤓	cara de nerd|anteojos|cara|estudioso|experto|geek|inteligente|lentes|listo
🤔	cara pensante|barbilla|cara pensativa|considerar|duda|hmm|pensar|ponderar|preguntarse|reflexionar
🤕	cara con la cabeza vendada|cabeza vendada|cara|cara con vendaje|descalabrado|descalabrar|dolor|enfermo|herida|lesión|vendaje
🤖	robot|cara|monstruo|r2d2|robotina
🤗	cara con manos abrazando|abrazo|cara|cara feliz|manos|sonrisa|sonrisa y abrazo
🤘	gesto de cuernos|buena onda|cool|cuernos|dedos|mano|mano haciendo los cuernos|mola|rock|roll
🤙	gesto de llamada|gesto|gesto de llamar|llamada|llamar|mano|mano haciendo el gesto de llamar|meñique|pulgar|rock
🤚	dorso de la mano|adiós|alto|chao|cinco|dedos|mano
🤛	puño a la izquierda|golpe|izquierda|puño|puño hacia la izquierda
🤜	puño a la derecha|derecha|puñetazo|punito|puño|puño hacia la derecha
🤝	apretón de manos|acuerdo|apretón|manos|reunión|saludar
🤞	dedos cruzados|changuitos|cruzar|dedos|desear suerte|mano|suerte
🤟	gesto de te quiero|amor|mano|rock|te amo|te quiero|tres dedos
🤠	cara con sombrero de vaquero|broma|bromista|cara|cara de vaquero|cowboy|feliz|sombrero|vaquero
🤡	cara de payaso|cara|divertido|payaso
🤢	cara de náuseas|asco|cara|cara verde|enfermedad|guácala|malestar|náuseas|vomitar|vómito
🤣	cara revolviéndose de la risa|cara|cara llorando de risa|carcajada|cómico|gracioso|jajajaja|jejejeje|llanto de felicidad|llanto de risa
🤤	cara babeando|baba|babas|babear|cara|cara que babea|delicioso|rico|saliva|suculento
🤥	cara de mentiroso|cara|cara de mentir|mentir|mentira|mentiroso|nariz|pinocho|Pinocho
🤦	persona con la mano en la frente|exasperación|facepalm|frente|incredulidad|no lo puedo creer|no otra vez|no puede ser|omg|persona
🤦‍♀	mujer con la mano en la frente|facepalm|incredulidad|mano en cara|mano en la frente|mujer|no lo puedo creer|no puede ser|omg
🤦‍♂	hombre con la mano en la frente|facepalm|hombre|mano en cara|mano en la frente|no lo puedo creer|no otra vez|no puede ser|omg
🤧	cara estornudando|alergia|cara|cara de estornudo|cara que estornuda|enfermedad|estornudar|estornudo|pañuelo|resfriado|resfrío
🤨	cara con ceja alzada|cara|cara subiendo la ceja|ceja arriba|ceño fruncido|confusión|desacuerdo|duda|fruncir el ceño|mmm|no entiendo
🤩	cara sonriendo con ojos de estrella|cara emocionada|cara sonriendo con estrellas|deslumbrante|emocionante|guau|impresionante|increíble|ojos con estrellas|super|wow
🤪	cara de loco|cara|cara chistosa|cara loca|loco|ojos|ojos desorbitados|ojos locos
🤫	cara pidiendo silencio|calla|cara con dedo sobre la boca|chitón|no digas nada|secreto|shh|silencio|sorpresa
🤬	cara con símbolos en la boca|cara|cara de enojo|cara enfadada|decir groserías|decir malas palabras|disgusto|enojo|insultos|malas palabras|palabrotas
🤭	cara con mano sobre la boca|ay perdón|cara|cara tapándose la boca|chanfle|huy|jijiji|lo siento|risa|ups|uy
🤮	cara vomitando|asco|cara|cara de náuseas|cara verde|guácala|malestar|náuseas|vomitando|vomitar|vómito
🤯	cabeza explotando|cara cabeza explotando|en shock|impresión|increíble|mi cabeza va a explotar|no es posible|no lo puedo creer|shock
🤰	mujer embarazada|barriga|embarazada|embarazo|futura madre|hinchada|hinchazón|inflada|llena|madre|mujer
🤱	lactancia materna|amamantar|bebé|dar pecho|pecho
🤲	palmas hacia arriba juntas|deseo|en oración|manos|oración|rezando|rezar|rezo
🤳	selfie|autofoto|cámara|foto|selfi|teléfono
🤴	príncipe|cara de príncipe|corona|cuento|cuento de hadas|fantasía|hombre|realeza
🤵	persona con esmoquin|esmoquin|pareja|persona
🤵‍♀	mujer con esmoquin|esmoquin|mujer
🤵‍♂	hombre con esmoquin|esmoquin|hombre
🤶	Mamá Noel|celebración|Claus|fiesta|Mamá Claus|Navidad|Noel|Sra. Claus
🤷	persona encogida de hombros|duda|encogerse|hombros|indiferencia
🤷‍♀	mujer encogida de hombros|duda|encogerse|hombros|indiferencia
🤷‍♂	hombre encogido de hombros|duda|encogerse|hombros|indiferencia
🤸	persona haciendo voltereta lateral|acrobacia|deporte|emoción|feliz|gimnasia|gimnasta|persona|pirueta|voltereta
🤸‍♀	mujer dando una voltereta lateral|acrobacia|deporte|emoción|feliz|gimnasia|gimnasta|mujer|mujer haciendo voltereta lateral|pirueta|voltereta
🤸‍♂	hombre dando una voltereta lateral|acrobacia|deporte|emoción|feliz|gimnasia|gimnasta|hombre|hombre haciendo voltereta lateral|pirueta|voltereta
🤹	persona haciendo malabares|circo|equilibrar|equilibrio|malabares|malabarismo|malabarista|multitareas|multitasking
🤹‍♀	mujer haciendo malabares|acto de circo|circo|equilibrio|hombre|malabares|malabarismo|malabarista|mujer
🤹‍♂	hombre haciendo malabares|acto de circo|circo|equilibrio|hombre|malabares|malabarismo|malabarista
🤺	esgrimista|esgrima|espada|persona haciendo esgrima
🤼	personas luchando|combate|deporte|lucha|lucha libre|luchar|pelea|persona|torneo de lucha
🤼‍♀	mujeres luchando|combate|deporte|lucha|lucha libre|luchar|mujeres|pelea|torneo de lucha
🤼‍♂	hombres luchando|combate|deporte|hombres|lucha|lucha libre|luchar|pelea|torneo de lucha
🤽	persona jugando al waterpolo|agua|deporte|deporte acuático|deportista|persona|persona jugando waterpolo|waterpolista|waterpolo
🤽‍♀	mujer jugando al waterpolo|agua|deporte|mujer|nadar|persona|persona jugando waterpolo|polo acuatico|water polo|waterpolista|waterpolo
🤽‍♂	hombre jugando al waterpolo|agua|deporte|deportes|hombre|hombre jugando waterpolo|persona|polo acuatico|water polo|waterpolista|waterpolo
🤾	handball|atlético|balón|balonmano|deporte|lanzamiento|mano|pelota|persona|persona jugando handball|tiro
🤾‍♀	mujer jugando handball|atlética|balón|deporte|handball|lanzamiento|mujer|pelota|persona|tiro
🤾‍♂	hombre jugando handball|balonmano|deporte|hombre
🤿	máscara de buceo|bucear|buzo|deporte|esnórquel|snorkeling|tubo
🥀	flor marchita|flor|marchita|marchitarse|naturaleza|triste|tristeza
🥁	tambor|banda|baquetas|música|palitos
🥂	copas brindando|bebida|brindar|brindis|celebración|copa
🥃	vaso de whisky|alcohol|chupito|copa|licor|trago|vaso|vaso pequeño|whisky
🥄	cuchara|cubierto|cubiertos|cucharilla|cucharita|sopa
🥅	portería|arco|deporte|futbol|red
🥇	medalla de primer lugar|ganador|medalla|medalla de oro|oro|primero
🥈	medalla de segundo lugar|medalla|medalla de plata|plata|segundo
🥉	medalla de tercer lugar|bronce|medalla|medalla de bronce|tercero
🥊	guante de boxeo|boxeo|deporte|golpear|guante|rojo
🥋	uniforme de artes marciales|artes marciales|deporte|judo|karate|kárate|taekwondo|uniforme|yudo
🥌	piedra de curling|curlin|curling|piedra
🥍	lacrosse|deportes|gol|juego|palo|pelota
🥎	pelota de softball|bola|deporte|deportes|guante|pelota|sófbol|softball|softbol|sóftbol
🥏	disco volador|disco|frisbee|frisbi|plato volador|ultimate
🥐	croissant|bollo|cachito|comida|cruasán|desayuno|francés|medialuna
🥑	aguacate|comida|fruta|guacamole|palta
🥒	pepino|comida|ensalada|pepinillo|vegetal|vegetales|verdura
🥓	tocino|carne|cerdo|comida|panceta|tocineta
🥔	papa|comida|patata|vegetal|verdura
🥕	zanahoria|comida|vegetal|verdura
🥖	baguette|baguete|barra|comida|desayuno|francés|pan
🥗	ensalada|bol|comida|vegetales|verde|verduras
🥘	paella|arroz|comida|españa|gambas|marisco|paellera|receta|sartén|valencia
🥙	pan relleno|comida|durum|falafel|kebab|pan de pita
🥚	huevo|comida|gallina|gallo
🥛	vaso de leche|bebida|leche|vaso
🥜	maní|cacahuete|cacahuetes|comida|elefante|fruto seco|mani|vegetal|verdura
🥝	kiwi|comida|desayuno|fruta
🥞	hotcakes|comida|crepe|desayuno|dulce|panquecas|panqueques|postre|tortita|tortitas
🥟	dumpling|comida|gyōza|jiaozi|masa
🥠	galleta de la fortuna|comida|galleta de la suerte|galletita
🥡	caja para llevar|comida|comida a domicilio|comida para llevar|palillos|palillos chinos
🥢	palillos|cubiertos|hashi
🥣	cuenco con cuchara|avena|bol|cereal|cuenco|desayuno|plato|plato hondo|plato hondo con cuchara|sopa|tazón|tazón con cuchara
🥤	vaso con pajita|agua|beber|bebida|gaseosa|popote|refresco|soda|sorbete
🥥	coco|fruta|piña colada
🥦	brócoli|comida
🥧	pastel|comida|pay|pie|pie de calabaza|pie de frutos|pie de limon|pie de manzana|tarta
🥨	bretzel|comida|galleta|pretzel
🥩	corte de carne|bife|carne|carne roja|chuleta de cerdo|chuleta de cordero|chuleta de puerco|comida|filete|steak
🥪	sándwich|comida|emparedado|pan|sanduche|sandwich
🥫	comida enlatada|bote|comida|conserva|enlatado|enlatados|envase|lata
🥬	verdura de hoja verde|col|col china|col rizada|ensalada|hoja verde|kale|lechuga|pak choy|vegetal|verdura
🥭	mango|comida|fruta|tropical
🥮	pastel de luna|dulce|festival|otoño|postre
🥯	bagel|comida|desayuno|pan|panadería|rosca
🥰	cara sonriendo con corazones|amor|cara feliz con 3 corazones|corazones|enamorada|enamorado|me encanta|romance|sonrisa y corazones|te amo
🥱	cara bostezando|a dormir|aburrido|bostezando|bostezar|bostezo|buenas noches|cara de bostezo|siesta|sueño|zzz
🥲	cara sonriente con lágrima|agradecido|aliviado|emocionado|emocionante|feliz|lágrima|orgulloso|sonriente|sonrisa
🥳	cara de fiesta|alegría|bonete|cara|celebración|celebrar|emoción|fiesta|viva|yupi
🥴	cara de grogui|abuso de sustancias|alcohol|borracha|borracho|drogas|ebriedad|mareo|pasada de tragos|pasado de tragos|tomada
🥵	cara con calor|apuros|bochorno|calor|cara|febril|golpe de calor|jadeando|sofoco|sudando|sudor
🥶	cara con frío|bajo cero|cara|congelación|congelada|congelado|congelarse|frío|helada|nieve|tengo frío
🥷	ninja|guerrero|hábil|luchador|oculto|secreto|sigilo|silencioso|soldado
🥸	cara disfrazada|anteojos|bigote|cara|careta|disfraz|espía|gafas|incógnito|lentes|nariz
🥹	cara aguantándose las lágrimas|agradecimiento|cara emocionada|emoción|emoticones y emociones|lágrimas de alegría|orgullo|sentimientos|ternura|tristeza|vergüenza
🥺	cara suplicante|cara de ruego|ojos de cachorro|ojos grandes|ojos llorosos|piedad|por favor|rogar|ruego|triste
🥻	sari|India|prenda|ropa|vestido
🥼	bata de laboratorio|científico|doctor|experimento|médico
🥽	gafas de protección|bucear|gafas|lentes|nadar|natación|protección|protector de ojos|snorkel|snorkeling|soldar|visor
🥾	bota de senderismo|acampada|bota|bota de camping|campamento|camping|excursión|excursionismo|senderismo
🥿	bailarina|bailarinas|ballet|chatitas|chinitas|pantuflas|toreritas|zapato plano|zapatos cómodos
🦀	cangrejo|animal|cáncer|mar|zodiaco
🦁	león|animal|cara|cara de león|felino|leo|zodiaco
🦂	escorpión|alacran|arácnido|escorpio|horoscopo|zodiaco
🦃	pavo|acción de gracias|animal|ave
🦄	unicornio|animal|cara|fantasía|rosado
🦅	águila|animal|ave
🦆	pato|animal|ave
🦇	murciélago|animal|vampiro
🦈	tiburón|animal|mar|marino|oceano|pez
🦉	búho|animal|ave|lechuza|noche
🦊	zorro|animal|cara|cara de zorro
🦋	mariposa|azul|bonita|bonito|insecto
🦌	ciervo|animal|venado
🦍	gorila|animal|king kong|primate|simio|zoo
🦎	lagartija|animal|lagarto|reptil
🦏	rinoceronte|animal|cabeza|paquidermo|zoológico
🦐	camarón|comida|gamba|langostino|mar|marisco|oceano|paella
🦑	calamar|comida|mar|molusco|oceano
🦒	jirafa|animal|manchas
🦓	cebra|animal|zebra
🦔	erizo|animal
🦕	saurópodo|animal|brontosaurio|brontosaurus|dinosaurio|jurasico|jurassic park|parque jurasico
🦖	t-rex|animal|dinosaurio|jurasico|jurassic park|parque jurasico|tiranosaurio|tiranosaurio rex|trex|tyrannosaurus rex
🦗	grillo|bicho|chapul|chapulín|insecto|ortóptero|saltamontes
🦘	canguro|animal|Australia|brincar|marsupial|saltar|saltarín
🦙	llama|alpaca|guanaco|lana|vicuña
🦚	pavo real|animal|ave|bello|colorida|colorido|linda ave|lindo pájaro|majestuoso|orgulloso|ostentoso|pájaro|pavo|plumas|vanidoso
🦛	hipopótamo|animal|paquidermo|zoológico
🦜	loro|animal|ave|cotorra|guacamaya|hablar|pájaro|pirata
🦝	mapache|animal|astuta|astuto|curiosa|curioso
🦞	langosta|animal|crustáceo|mar|mariscos|pinzas|playa|tenazas
🦟	mosquito|animal|enfermedad|fiebre|insecto|malaria|picada|virus|zancudo
🦠	microbio|ameba|bacteria|ciencias|microorganismo|virus
🦡	tejón|ratel|tejón de la miel|tejón melero
🦢	cisne|animal|ave|ballet|patito feo
🦣	mamut|animal|colmillo|lanudo
🦤	dodo|animal|ave|dronte|pájaro|pico
🦥	perezoso|gandul|holgazán|lento|pereza|vago
🦦	nutria|animal|bromista|juguetón|pesca
🦧	orangután|animal|mono|primate|simio
🦨	mofeta|animal|apestar|hedor|mal olor|peste|tufo|zorrillo|zorrino
🦩	flamenco|animal|ave|extravangante|ostentoso|pájaro|tropical
🦪	ostra|almeja|buceo|concha|ostión|perla
🦫	castor|animal|dientes|roedor
🦬	bisonte|animal|cíbolo
🦭	foca|animal|fauna|león marino|lobo marino|mar|océano
🦮	perro guía|accesibilidad|animal|ciego|discapacidad visual|guía|invidente|lazarillo
🦯	bastón|accesibilidad|ceguera|ciega|ciego|discapacidad visual|invidente
🦰	pelo pelirrojo|pelirrojo|pelo|rojizo|rojo
🦱	pelo rizado|afro|bucle|rizado|rizo|tirabuzón
🦲	sin pelo|afeitado|bola de billar|calvo|quimioterapia
🦳	pelo blanco|blanco|cana|gris|pelo|viejo
🦴	hueso|esqueleto|hueso de la suerte|huesos|perro
🦵	pierna|extremidad|patada|pie|pierna doblada|pierna flexionada|rodilla
🦶	pie|patada|pies|pisada|pisado|pisar|pisón|pisotón|tobillo
🦷	diente|dentadura|dentista|dientes|muela|muelas|odontólogo|perlas
🦸	personaje de superhéroe|bien|héroe|heroína|superhéroe|superheroína|superpoder
🦸‍♀	superheroína|bondad|héroe|heroína|mujer|superhéroe|superpoder
🦸‍♂	superhéroe|bueno|héroe|hombre|superhombre|superpoder
🦹	personaje de supervillano|mal|superpoder|supervillana|supervillano|villana|villano
🦹‍♀	supervillana|mal|malvada|mujer|villana
🦹‍♂	supervillano|hombre|mal|malvado|villano
🦺	chaleco de seguridad|chaleco|emergencia|ropa|seguridad
🦻	oreja con audífono|accesibilidad|aparato auditivo|aparato para la sordera|audífono|auricular|prótesis auditiva|sordera
🦼	silla de ruedas eléctrica|accesibilidad|persona con discapacidad|silla de ruedas
🦽	silla de ruedas manual|accesibilidad|personas con discapacidad|silla de ruedas
🦾	brazo mecánico|accesibilidad|ortopedia|prótesis
🦿	pierna mecánica|accesibilidad|ortopedia|prótesis
🧀	queso|cuña|cuña de queso|raton|roedor|trozo
🧁	magdalena|chispas de colores|cubilete|cupcake|dulce|indulgencia|panadería|pastelería|pastelillo|postre
🧂	sal|condimento|sabor|salada|salado|salero|sazón
🧃	tetrabrik|bebida|brick|cartón|envase|jugo|zumo
🧄	ajo|condimento|vampiro
🧅	cebolla|condimento|llorar
🧆	falafel|albóndiga|albóndigas|bolas de garbanzo|comida|garbanzo
🧇	gofre|comida|desayuno|waffle
🧈	mantequilla|comida|lácteo|margarina
🧉	mate|bebida|infusión|té|yerba
🧊	cubito de hielo|cubo de hielo|frío|hielo
🧋	té de burbujas|bebida|burbuja|comida|leche|perla|taiwán|té
🧌	trol|cuento de hadas|fantasía|gigante|monstruo|monstruo verde
🧍	persona de pie|de pie|levantada|levantado|levantarse|parada|parado|pararse
🧍‍♀	mujer de pie|de pie|levantada|levantarse|mujer
🧍‍♂	hombre de pie|de pie|hombre|levantado|levantarse
🧎	persona de rodillas|arrodillada|arrodillado|arrodillarse|de rodillas
🧎‍♀	mujer de rodillas|arrodillada|arrodillarse|de rodillas|mujer
🧎‍♀‍➡	mujer de rodillas: hacia la derecha|arrodillada|arrodillarse|de rodillas|derecha|hacia|la|mujer|mujer de rodillas
🧎‍♂	hombre de rodillas|arrodillado|arrodillarse|de rodillas|hombre
🧎‍♂‍➡	hombre de rodillas: hacia la derecha|arrodillado|arrodillarse|de rodillas|derecha|hacia|hombre|hombre de rodillas|la
🧎‍➡	persona de rodillas: hacia la derecha|arrodillada|arrodillado|arrodillarse|de rodillas|derecha|hacia|la|persona de rodillas
🧏	persona sorda|accesibilidad|escuchar|lenguaje de señas|oído|oír|señas|sordera
🧏‍♀	mujer sorda|accesibilidad|escuchar|lenguaje de señas|oído|oír|señas|sorda|sordera
